fecha,roa,liquidez,ratio_titulos,flujo_remesas,tasa_pasiva,imae,credito_privado,d2008,d2018,dcovid
2008-01-01,0.0014134580099525048,0.2344663274959586,0.14108141515435543,60.8,6.88,1.114480968242924,42084.87892,1,0,0
2008-02-01,0.003230785162351247,0.24276771056189256,0.1328308099180687,63.4,6.71,1.0485326794738725,43123.92255,1,0,0
2008-03-01,0.004638134376993027,0.2572720790414235,0.13089881007857024,71.5,6.7,1.0468975511630583,43536.25818,1,0,0
2008-04-01,0.006369507783644245,0.27250130351999236,0.12466561427488912,67.7,6.69,1.095553511990165,43885.8702,1,0,0
2008-05-01,0.008392378919869683,0.26423138611580205,0.1251557637747828,73.6,6.88,1.089338377602093,44229.07735,1,0,0
2008-06-01,0.010144475482165493,0.25506465107056425,0.1282437496570772,66.8,6.47,1.0773402463270068,44788.19615,1,0,0
2008-07-01,0.011737399390387239,0.24428685598567088,0.12696522740272534,66.9,6.28,1.1421599064828891,45556.170029999994,1,0,0
2008-08-01,0.0134370789321529,0.2414885937430937,0.12329269839587938,69.5,7.25,1.0875190140476247,46319.769570000004,1,0,0
2008-09-01,0.014344224090647494,0.24615275010392548,0.12329533117551288,70.8,6.53,1.0488343721993072,46658.68622,1,0,0
2008-10-01,0.015499817035219056,0.23460084893892344,0.11831649261563734,67.5,6.52,1.0776300093295226,46528.97224,1,0,0
2008-11-01,0.016544420210525063,0.2316567261279648,0.11712312240856075,66.1,6.96,1.032014329960786,46950.5174,1,0,0
2008-12-01,0.017889345261661936,0.24101004085064193,0.11266210080296986,73.5,6.63,1.1820763940072918,46334.09682,1,0,0
2009-01-01,0.0010495375454942384,0.2546439098481656,0.11508990773922373,62.7,6.69,1.0494734790948135,45723.41697,0,0,0
2009-02-01,0.0021651671784365073,0.2612721529273583,0.11789329058853233,62.8,6.74,0.9959456014730104,45512.40255,0,0,0
2009-03-01,0.0032888456256596425,0.2537416436733849,0.12746257788315857,70.4,6.73,0.9979346209376275,45257.69287,0,0,0
2009-04-01,0.004206430032821587,0.25914117506250317,0.136580704660236,62.5,6.87,0.9782880523397587,44330.62418,0,0,0
2009-05-01,0.005294617770812083,0.2616373416953018,0.1390942114012949,66.2,6.67,1.0544883635017184,43990.87783,0,0,0
2009-06-01,0.005890404690792704,0.2765646861046205,0.1422922502966765,62.1,6.64,1.0298568446434009,43533.90994,0,0,0
2009-07-01,0.006256299772108781,0.2827382776021264,0.14716270253972466,61.3,6.85,1.1130382313420428,43265.265419999996,0,0,0
2009-08-01,0.006370138552264686,0.3001149282240993,0.14098481135032187,60.7,6.66,1.0609741751714246,43134.59488,0,0,0
2009-09-01,0.00622991236664475,0.30139327011791195,0.1463442639108378,62.2,6.8,1.0076818542433124,42886.40477,0,0,0
2009-10-01,0.005865395193339437,0.29816104737686167,0.14784024857553899,64.4,6.51,1.0306259928304033,42655.6683,0,0,0
2009-11-01,0.0066637886709358185,0.30855211813577693,0.13272215641225993,61.9,6.29,1.0923966500799,42996.64938,0,0,0
2009-12-01,0.005318570575899571,0.33027893667358593,0.13036248926967112,71.2,6.46,1.2022316841904641,42842.72746,0,0,0
2010-01-01,2.9549471794385073e-4,0.34048543310452956,0.1493601163326519,60.7,5.97,1.073434228094222,42559.18918,0,0,0
2010-02-01,5.511940863953967e-4,0.34428032784482115,0.14933356876923878,64.1,4.84,1.0208599677338936,42348.18052,0,0,0
2010-03-01,0.001073063794144892,0.33927613673316004,0.16707014549996713,77,4.15,1.0619729811883731,41794.76653,0,0,0
2010-04-01,7.722605848685896e-4,0.3429562965643562,0.17440209496518147,63.8,3.69,1.0027310065462054,41409.12502,0,0,0
2010-05-01,0.0017428074526094068,0.35116613773992444,0.17972436997540142,70.2,3.78,1.086007650746283,41205.61744,0,0,0
2010-06-01,0.0010461077518770516,0.34891016152864196,0.19388184389146262,63.5,3.8,1.0803645683507745,41567.181580000004,0,0,0
2010-07-01,0.0010325875468295898,0.3483616662571382,0.20289851298705522,66.5,3.22,1.1641105840471808,41627.03882,0,0,0
2010-08-01,0.005611786322734113,0.3271276479187948,0.22311133107250392,66.5,3.2,1.1066425573664633,41815.53026,0,0,0
2010-09-01,0.00650409014211088,0.3327995892180405,0.2157108890537844,67.9,3.49,1.0630640244237497,42172.00173,0,0,0
2010-10-01,0.007363256380171755,0.32572766601380126,0.2246287434335965,70.3,2.96,1.1002053120947652,42673.74129,0,0,0
2010-11-01,0.00850258575439959,0.3272573744898631,0.21335307695943906,70.6,3.4,1.1647884914848903,43583.38645,0,0,0
2010-12-01,0.00996084893299932,0.31879407131804366,0.2044518462912585,81.7,3.29,1.2449971326936833,45388.378280000004,0,0,0
2011-01-01,0.0015516646837136576,0.3347373754250773,0.20704867000856209,67.4,3.82,1.1311727734974337,45443.21783,0,0,0
2011-02-01,0.002742086061089125,0.352006413791123,0.20179322580778042,69.3,3.45,1.054578327593887,44766.651,0,0,0
2011-03-01,0.004025162490181656,0.34004947174723554,0.2328643098058888,77.5,3.29,1.149611348115776,44407.54792,0,0,0
2011-04-01,0.004987760893074125,0.3543765963926467,0.23541118322476373,73.4,3.1,1.0631270230516232,44242.15472,0,0,0
2011-05-01,0.006339946045472109,0.34954047386431736,0.239762401630217,77.8,3.14,1.1873142346937926,44412.581210000004,0,0,0
2011-06-01,0.007671965808224147,0.36180638386029623,0.23558380505797688,70,3.33,1.1649364407238896,44337.4101,0,0,0
2011-07-01,0.008854135527289139,0.3667138167222247,0.2334811285681439,74.5,3.21,1.2613347183904062,44699.633839999995,0,0,0
2011-08-01,0.010387923937179347,0.348467671358392,0.23577779941467208,77.3,3.11,1.185203132851533,45733.4519,0,0,0
2011-09-01,0.011635672088535618,0.3365138808879131,0.23641982143985107,74.8,3.83,1.128784865019281,47111.57209,0,0,0
2011-10-01,0.012861916231872465,0.32258138367494155,0.23702872232762515,79.4,2.21,1.1369073384409314,48817.35803,0,0,0
2011-11-01,0.014761030563306419,0.31161358782437826,0.2213688931384252,75.7,2.83,1.257420060273093,50990.93922,0,0,0
2011-12-01,0.016593367812709453,0.3254686975225357,0.20461075334483833,94.5,3.05,1.2806438393465285,52491.80203,0,0,0
2012-01-01,0.0017566338395567243,0.32915929173499014,0.21266625947416698,78.1,2.73,1.2849959742230543,53457.17955,0,0,0
2012-02-01,0.0033828380424206304,0.3190545040927306,0.21934198329281057,82.3,3,1.1685406920424424,54435.26674,0,0,0
2012-03-01,0.004872418624237996,0.3363609739660249,0.20828937538058134,89.7,2.97,1.1862465036028988,54133.01926,0,0,0
2012-04-01,0.006484278901135708,0.31041666004219565,0.22080937011331425,80.1,1.94,1.1243960334810261,54302.680290000004,0,0,0
2012-05-01,0.008134997419572213,0.3029470550020331,0.21506568325968717,85.2,2.3,1.266905656737664,55739.00479,0,0,0
2012-06-01,0.00967473479624521,0.3011663552694286,0.21292419081673536,78.9,1.95,1.1830875818802902,56853.05519,0,0,0
2012-07-01,0.011311199880282069,0.2947371383449334,0.20844849005246247,80.9,2.74,1.3026632865560455,57904.05858,0,0,0
2012-08-01,0.013218423800790805,0.29555312550869733,0.20251764547400178,82.4,2.53,1.2381602246601782,59198.53751,0,0,0
2012-09-01,0.015010439899666396,0.2768182230683378,0.19278757623813234,82.9,3.1,1.1691625046653706,60337.57492,0,0,0
2012-10-01,0.016779161539339435,0.28703638610055376,0.16681724858807342,87.3,3.44,1.2606355574458616,62135.31143,0,0,0
2012-11-01,0.018498291467615564,0.28685562001140247,0.16034696343123248,82.8,1.92,1.3062534988435675,64092.093510000006,0,0,0
2012-12-01,0.020720243031281668,0.2614736564642663,0.15683677209176963,103.6,3,1.4195128735325193,66318.71079,0,0,0
2013-01-01,0.0018972303887549156,0.28958601227402914,0.15260339988593696,83.4,3.27,1.319724930584001,67235.49044,0,0,0
2013-02-01,0.003754095329161556,0.2889379115235889,0.15407299020305373,83.7,3.01,1.2238822639207085,67397.10497,0,0,0
2013-03-01,0.005467151118024564,0.27676239479009096,0.16212152410955216,90.2,3.63,1.223494306014436,69006.91519,0,0,0
2013-04-01,0.0072426812731930905,0.2852121299171692,0.1546813454198727,90.7,3.84,1.2674309260013026,69533.63681,0,0,0
