fecha,roa,liquidez,apalancamiento,flujo_remesas,tasa_pasiva,d2008,d2018,dcovid
2008-01-01,0.0014134580099525048,0.2344663274959586,9.540842603339094,60.8,6.88,1,0,0
2008-02-01,0.003230785162351247,0.24276771056189256,9.562405912967133,63.4,6.71,1,0,0
2008-03-01,0.004638134376993027,0.2572720790414235,9.595775055498704,71.5,6.7,1,0,0
2008-04-01,0.006369507783644245,0.27250130351999236,9.657564791955798,67.7,6.69,1,0,0
2008-05-01,0.008392378919869683,0.26423138611580205,9.472924735042678,73.6,6.88,1,0,0
2008-06-01,0.010144475482165493,0.25506465107056425,9.514074649059344,66.8,6.47,1,0,0
2008-07-01,0.011737399390387239,0.24428685598567088,9.356389218906077,66.9,6.28,1,0,0
2008-08-01,0.0134370789321529,0.2414885937430937,9.167658952831937,69.5,7.25,1,0,0
2008-09-01,0.014344224090647494,0.24615275010392548,9.219246998478912,70.8,6.53,1,0,0
2008-10-01,0.015499817035219056,0.23460084893892344,8.93417736656765,67.5,6.52,1,0,0
2008-11-01,0.016544420210525063,0.2316567261279648,8.83542563454614,66.1,6.96,1,0,0
2008-12-01,0.017889345261661936,0.24101004085064193,8.598280511111609,73.5,6.63,1,0,0
2009-01-01,0.0010495375454942384,0.2546439098481656,8.64162769652718,62.7,6.69,0,0,0
2009-02-01,0.0021651671784365073,0.2612721529273583,8.610837019355134,62.8,6.74,0,0,0
2009-03-01,0.0032888456256596425,0.2537416436733849,8.438163860009327,70.4,6.73,0,0,0
2009-04-01,0.004206430032821587,0.25914117506250317,8.388745431159496,62.5,6.87,0,0,0
2009-05-01,0.005294617770812083,0.2616373416953018,8.378303400674078,66.2,6.67,0,0,0
2009-06-01,0.005890404690792704,0.2765646861046205,8.519194456810945,62.1,6.64,0,0,0
2009-07-01,0.006256299772108781,0.2827382776021264,8.90632251943432,61.3,6.85,0,0,0
2009-08-01,0.006370138552264686,0.3001149282240993,8.930335439700148,60.7,6.66,0,0,0
2009-09-01,0.00622991236664475,0.30139327011791195,8.940119505894428,62.2,6.8,0,0,0
2009-10-01,0.005865395193339437,0.29816104737686167,9.110274374249062,64.4,6.51,0,0,0
2009-11-01,0.0066637886709358185,0.30855211813577693,9.206469247278731,61.9,6.29,0,0,0
2009-12-01,0.005318570575899571,0.33027893667358593,9.298683128682814,71.2,6.46,0,0,0
2010-01-01,2.9549471794385073e-4,0.34048543310452956,9.726954958556222,60.7,5.97,0,0,0
2010-02-01,5.511940863953967e-4,0.34428032784482115,9.729671914281921,64.1,4.84,0,0,0
2010-03-01,0.001073063794144892,0.33927613673316004,9.709785166887402,77,4.15,0,0,0
2010-04-01,7.722605848685896e-4,0.3429562965643562,9.980348942991174,63.8,3.69,0,0,0
2010-05-01,0.0017428074526094068,0.35116613773992444,10.078048829781958,70.2,3.78,0,0,0
2010-06-01,0.0010461077518770516,0.34891016152864196,10.035312169598175,63.5,3.8,0,0,0
2010-07-01,0.0010325875468295898,0.3483616662571382,10.17611737596706,66.5,3.22,0,0,0
2010-08-01,0.005611786322734113,0.3271276479187948,9.816219583904694,66.5,3.2,0,0,0
2010-09-01,0.00650409014211088,0.3327995892180405,9.712703351286251,67.9,3.49,0,0,0
2010-10-01,0.007363256380171755,0.32572766601380126,9.829279263865603,70.3,2.96,0,0,0
2010-11-01,0.00850258575439959,0.3272573744898631,9.76468125394464,70.6,3.4,0,0,0
2010-12-01,0.00996084893299932,0.31879407131804366,9.523770751068573,81.7,3.29,0,0,0
2011-01-01,0.0015516646837136576,0.3347373754250773,9.635815547069107,67.4,3.82,0,0,0
2011-02-01,0.002742086061089125,0.352006413791123,9.718462503518285,69.3,3.45,0,0,0
2011-03-01,0.004025162490181656,0.34004947174723554,9.771611565139581,77.5,3.29,0,0,0
2011-04-01,0.004987760893074125,0.3543765963926467,9.769567392006923,73.4,3.1,0,0,0
2011-05-01,0.006339946045472109,0.34954047386431736,9.65886096890457,77.8,3.14,0,0,0
2011-06-01,0.007671965808224147,0.36180638386029623,10.023765333153019,70,3.33,0,0,0
2011-07-01,0.008854135527289139,0.3667138167222247,10.040176820814647,74.5,3.21,0,0,0
2011-08-01,0.010387923937179347,0.348467671358392,9.750288753453033,77.3,3.11,0,0,0
2011-09-01,0.011635672088535618,0.3365138808879131,9.689563029480603,74.8,3.83,0,0,0
2011-10-01,0.012861916231872465,0.32258138367494155,9.739246123835105,79.4,2.21,0,0,0
2011-11-01,0.014761030563306419,0.31161358782437826,9.475873919372335,75.7,2.83,0,0,0
2011-12-01,0.016593367812709453,0.3254686975225357,9.513284048881786,94.5,3.05,0,0,0
2012-01-01,0.0017566338395567243,0.32915929173499014,9.821624317918394,78.1,2.73,0,0,0
2012-02-01,0.0033828380424206304,0.3190545040927306,9.911895110821105,82.3,3,0,0,0
2012-03-01,0.004872418624237996,0.3363609739660249,10.022335104136445,89.7,2.97,0,0,0
2012-04-01,0.006484278901135708,0.31041666004219565,9.557325053323996,80.1,1.94,0,0,0
2012-05-01,0.008134997419572213,0.3029470550020331,9.5709120347204,85.2,2.3,0,0,0
2012-06-01,0.00967473479624521,0.3011663552694286,9.517706453121207,78.9,1.95,0,0,0
2012-07-01,0.011311199880282069,0.2947371383449334,9.327509834567696,80.9,2.74,0,0,0
2012-08-01,0.013218423800790805,0.29555312550869733,9.14400556365399,82.4,2.53,0,0,0
2012-09-01,0.015010439899666396,0.2768182230683378,8.940448818051104,82.9,3.1,0,0,0
2012-10-01,0.016779161539339435,0.28703638610055376,9.288328681290364,87.3,3.44,0,0,0
2012-11-01,0.018498291467615564,0.28685562001140247,9.227336856190867,82.8,1.92,0,0,0
2012-12-01,0.020720243031281668,0.2614736564642663,8.882482815808043,103.6,3,0,0,0
2013-01-01,0.0018972303887549156,0.28958601227402914,9.048526337477055,83.4,3.27,0,0,0
2013-02-01,0.003754095329161556,0.2889379115235889,8.940171612762613,83.7,3.01,0,0,0
2013-03-01,0.005467151118024564,0.27676239479009096,8.823736198414865,90.2,3.63,0,0,0
2013-04-01,0.0072426812731930905,0.2852121299171692,8.754320622330242,90.7,3.84,0,0,0
2013-05-01,0.008957693292816121,0.2768320216926796,8.752473994771785,92.7,3.45,0,0,0
2013-06-01,0.01055009606783876,0.26549033957464435,8.904073553862446,80.9,3.33,0,0,0
2013-07-01,0.012223721857674391,0.2721516672177264,8.829066474279001,86.6,3.53,0,0,0
2013-08-01,0.01381727850932674,0.2566366532108499,8.774591364132721,88.6,3.39,0,0,0
2013-09-01,0.015386030993218641,0.25395313068427433,8.674662935620686,90.5,3.79,0,0,0
2013-10-01,0.017503080099027783,0.25320620116614206,8.977577054919971,90.3,3.79,0,0,0
2013-11-01,0.019089957450988366,0.2527222103532161,8.959498768703961,89.1,3.46,0,0,0
2013-12-01,0.02131274597490316,0.2601765875637803,8.701267170410713,111,3.08,0,0,0
2014-01-01,0.0019400762922709368,0.265360186102905,8.776693081262838,85.6,3.63,0,0,0
2014-02-01,0.0035954463462589113,0.26282107038435903,8.877651126504572,90,3.32,0,0,0
2014-03-01,0.005130501186867561,0.28995374727064926,9.021711087658053,101.6,3.28,0,0,0
2014-04-01,0.0068870444690840825,0.2720536037078862,8.682451119255486,91.1,3.99,0,0,0
2014-05-01,0.008446541007203207,0.2580803819774088,8.719602756620265,98.5,3.58,0,0,0
2014-06-01,0.0098960766908658,0.271822861857386,8.801763295304628,88.4,3.3,0,0,0
2014-07-01,0.011476711630416126,0.2702452935891537,8.880185261747634,92.6,3.15,0,0,0
2014-08-01,0.01317745830586031,0.2719803285222238,8.792087350006945,92.2,3.26,0,0,0
2014-09-01,0.014952059046609763,0.2639405783739661,8.670238656758194,94.7,3.13,0,0,0
2014-10-01,0.016738024077481102,0.2776104970653255,8.620282680113467,93.5,1.68,0,0,0
2014-11-01,0.01819612848394681,0.2704879008754713,8.578505434295973,91,1.48,0,0,0
2014-12-01,0.020161189520102072,0.27896858296808585,8.50464623437371,116.6,2.38,0,0,0
2015-01-01,0.0018434302846389744,0.2680025127847296,8.528078154915717,88.9,3.28,0,0,0
2015-02-01,0.0034972083479804074,0.2738971620918586,8.554379261516955,94.1,3.32,0,0,0
2015-03-01,0.005394692356427612,0.27413276285140403,8.578726869483047,106.2,3.96,0,0,0
2015-04-01,0.007094815230146487,0.2791157524991866,8.297857019260714,94.4,3.19,0,0,0
2015-05-01,0.008667857335209087,0.2812451944254745,8.269947601049024,104.9,3.63,0,0,0
2015-06-01,0.010430267998618922,0.2698995019067242,8.175636901054926,93.1,3.21,0,0,0
2015-07-01,0.01191845102345735,0.27162765675018075,8.313720908713595,97.6,3.1,0,0,0
2015-08-01,0.013750359874614312,0.2602284183522172,8.255339125049941,96.6,3.41,0,0,0
2015-09-01,0.01530813632118875,0.2499688602943525,8.259663367235282,98.7,3.42,0,0,0
2015-10-01,0.016915210142251256,0.2527908691725935,8.20861959337541,102.6,3.19,0,0,0
2015-11-01,0.01864515695875266,0.24569901869045216,8.1862173120868,95.7,3.43,0,0,0
2015-12-01,0.020629221230413292,0.25828327318832633,8.182187194594844,120.6,3.38,0,0,0
2016-01-01,0.001908638961908624,0.27038531330415766,8.157779482127996,91.2,3.25,0,0,0
2016-02-01,0.0037236271043726717,0.27086525389405053,8.188622921294684,103.4,3.82,0,0,0
2016-03-01,0.005575585590019348,0.27994306664708435,8.200394178155207,107.7,3.35,0,0,0
2016-04-01,0.00732999436912314,0.2710823411937641,8.107026327297772,103.5,3.27,0,0,0
2016-05-01,0.009293206100194677,0.24986841003455826,8.09029526838815,107.4,3.1,0,0,0
2016-06-01,0.011400226228704787,0.25255543327465946,7.9971735129501536,95.5,3.03,0,0,0
2016-07-01,0.012939209610487336,0.2653475981853982,8.052732905135931,98.7,3.57,0,0,0
2016-08-01,0.014729960475084333,0.2577118241547604,7.995589540543995,107.9,4.33,0,0,0
2016-09-01,0.016562446318089414,0.25246805109978887,7.8767854429237945,106.3,3.04,0,0,0
2016-10-01,0.01823825022238276,0.23943720750487366,7.819835829042968,108.1,3.15,0,0,0
2016-11-01,0.01971642667056421,0.2417721423243699,7.78450268749336,104.3,3.49,0,0,0
2016-12-01,0.022754970936447766,0.24179551855956516,7.912340745263904,130.1,3.54,0,0,0
2017-01-01,0.0021668471124991558,0.25288517722061243,7.857641690733183,102.1,3.79,0,0,0
2017-02-01,0.003692548545548787,0.25854528474625954,7.949948555232662,107.6,3.94,0,0,0
2017-03-01,0.005885958808668768,0.2634669562073506,7.875335799163956,113.6,4.11,0,0,0
2017-04-01,0.007684468284244203,0.2553480936578583,7.956616211075925,108.4,3.88,0,0,0
2017-05-01,0.00956995164319641,0.24069966357151665,7.933609534322595,121.2,3.72,0,0,0
2017-06-01,0.011361115978196376,0.23948625643045948,7.8927868945366715,111.1,3.46,0,0,0
2017-07-01,0.012873558471598465,0.25265643299021934,8.043190014149982,122.4,3.69,0,0,0
2017-08-01,0.014728940128685383,0.24049563060030024,7.949188257519582,120.4,3.42,0,0,0
2017-09-01,0.016278703612403318,0.2415752320902294,7.8601230100490875,112.8,4.24,0,0,0
2017-10-01,0.017756811741680673,0.24218057056230602,7.8549705076362955,118.5,4.05,0,0,0
2017-11-01,0.01945948462649377,0.2488366485950008,7.771439231017713,116,4.03,0,0,0
2017-12-01,0.02137637641732856,0.2388915755382856,7.658645099922619,136.7,4.05,0,0,0
2018-01-01,0.0019790800891201416,0.23716446276681744,7.705729528201095,112.9,4.03,0,1,0
2018-02-01,0.0035963071128308458,0.23859997040407313,7.7000781755834264,116.9,4.51,0,1,0
2018-03-01,0.005203881510594869,0.247886648498846,7.785691362132953,123.6,4.38,0,1,0
2018-04-01,0.006930558795436167,0.23785655572534067,7.624353398777083,128.9,4.21,0,1,0
2018-05-01,0.008561728959570105,0.24679853595236537,7.4538821066463266,127.1,3.88,0,1,0
2018-06-01,0.009986585557320833,0.24204460588187118,7.31845828591783,115.2,4.11,0,1,0
2018-07-01,0.0111545598900985,0.256190556850558,7.172706927203562,124.4,4.78,0,1,0
2018-08-01,0.012447308501563222,0.25101200105657206,6.910706318168623,126.7,4.85,0,1,0
2018-09-01,0.01377499345385739,0.2540374122264865,6.670340652399202,121.7,5.27,0,1,0
2018-10-01,0.015233513332256398,0.24958605923806848,6.4313780718588,128.9,5.06,0,1,0
2018-11-01,0.016291476723804238,0.2578164690323768,6.331604870980905,125.4,5.58,0,1,0
2018-12-01,0.017353406274996375,0.24450766885103767,6.001111730128726,149.5,5.24,0,1,0
2019-01-01,0.0011983126239614704,0.2537468040900299,4.921462261079966,124.2,5.16,0,0,0
2019-02-01,0.0022686305193242474,0.2952468208154883,4.842424206091561,122.3,5.31,0,0,0
2019-03-01,0.0033889180486263723,0.3031719992044747,4.802786113213913,137.3,5.88,0,0,0
2019-04-01,0.004801798341152586,0.30823182176552183,4.713090463662875,134.5,6.18,0,0,0
2019-05-01,0.005796820578934874,0.31969396237161035,4.631085217790381,144,6.15,0,0,0
2019-06-01,0.006718918495843141,0.31615394090486126,4.579805187501733,134.3,5.91,0,0,0
2019-07-01,0.008124071215950407,0.32078395734490095,4.462351605717048,146.2,5.7,0,0,0
2019-08-01,0.009449158222299678,0.3145456032984372,4.4914491313557585,145.5,5.94,0,0,0
2019-09-01,0.010321695654291826,0.3133613679470051,4.559637079418029,139.1,5.85,0,0,0
2019-10-01,0.0117899719918229,0.3090649926326786,4.507750671844143,144.6,6.09,0,0,0
2019-11-01,0.01268075979338138,0.3223494198996996,4.550241466167388,144.2,5.83,0,0,0
2019-12-01,0.014410030393119048,0.32137341640042477,4.504960256306164,166.2,5.29,0,0,0
2020-01-01,0.0013657334522983692,0.3216074866859479,4.523185704297821,139.2,5.76,0,0,0
2020-02-01,0.002443055816048931,0.3386730750075932,4.5526388578412975,143.8,5.56,0,0,0
2020-03-01,0.003402673558121364,0.3329483395135481,4.511634204315756,141.5,5.35,0,0,1
2020-04-01,0.00446842610216368,0.3436000163305819,4.470729802171235,122.2,5.43,0,0,1
2020-05-01,0.005281953610114183,0.341774642540795,4.447707781856029,159.2,5.56,0,0,1
2020-06-01,0.006172934268818571,0.34282838084394684,4.4035717828299035,154.7,5.79,0,0,1
2020-07-01,0.0071442339820672164,0.34495668827923104,4.411006926244436,162.4,4.99,0,0,1
2020-08-01,0.008039146363903588,0.3426794316927705,4.441343446523245,163,4.72,0,0,1
2020-09-01,0.008845266045874602,0.32409360290484907,4.540810714873065,156.7,4.1,0,0,1
2020-10-01,0.009880770670021896,0.31175535310562635,4.5341921500234825,165.5,3.82,0,0,1
2020-11-01,0.010347635561905407,0.3160224276217032,4.596632998275789,152.3,3.91,0,0,1
2020-12-01,0.011034871836098211,0.3158975988841844,4.683354982217989,190.9,3.42,0,0,1
