Mes,Explicado_por_Remesas,Explicado_por_credito,Explicado_por_Tasa,Explicado_por_Propio_ROA
1,3.347679461736089e-4,0.725906237628247,0.27186390757879897,99.00189508684676
2,0.04191348667574501,1.5992626038967201,0.2341461372744063,98.1246777721531
3,0.06252927308559791,2.4384779120547524,0.2263389686661307,97.2726538461935
4,0.08002769670089219,3.1049626591232182,0.2231238219875246,96.59188582218836
5,0.09188778975108809,3.575755662258611,0.2214881998544199,96.11086834813587
6,0.09957132912990338,3.8837869082028424,0.2206248825769501,95.79601688009028
7,0.10430326487182685,4.075072785038462,0.22013980643808181,95.60048414365163
8,0.10711983394266582,4.189613486254655,0.21986665014362924,95.48340002965904
9,0.10875647676669498,4.256436786356128,0.2197124524373924,95.41509428443977
10,0.10969047028309253,4.2946889614748445,0.21962588950647996,95.37599467873557
11,0.11021648050809402,4.31628043033058,0.2195775825819451,95.35392550657939
12,0.11050977150821777,4.3283400321066035,0.21955078625346774,95.34159941013172
