Uid,Sid,Key,Time,Value,UpdateTime
6173302506,985021106,light_sensitivity_value,1775859300,"{""light_sensitivity_value"":0,""time"":1775859300}",1775859659
6173302506,985021106,body_momentum,1775859300,"{""body_momentum"":0,""time"":1775859300}",1775859659
6173302506,985021106,light_sensitivity_value,1775859240,"{""light_sensitivity_value"":0,""time"":1775859240}",1775859673
6173302506,985021106,body_momentum,1775859240,"{""body_momentum"":0,""time"":1775859240}",1775859686
6173302506,985021106,light_sensitivity_value,1775859180,"{""light_sensitivity_value"":0,""time"":1775859180}",1775859673
6173302506,985021106,body_momentum,1775859180,"{""body_momentum"":0,""time"":1775859180}",1775859686
6173302506,985021106,light_sensitivity_value,1775859120,"{""light_sensitivity_value"":0,""time"":1775859120}",1775859673
6173302506,985021106,body_momentum,1775859120,"{""body_momentum"":0,""time"":1775859120}",1775859686
6173302506,985021106,light_sensitivity_value,1775859060,"{""light_sensitivity_value"":0,""time"":1775859060}",1775859673
6173302506,985021106,body_momentum,1775859060,"{""body_momentum"":0,""time"":1775859060}",1775859686
6173302506,985021106,light_sensitivity_value,1775859000,"{""light_sensitivity_value"":0,""time"":1775859000}",1775859673
6173302506,985021106,body_momentum,1775859000,"{""body_momentum"":0,""time"":1775859000}",1775859686
6173302506,985021106,light_sensitivity_value,1775858940,"{""light_sensitivity_value"":0,""time"":1775858940}",1775859673
6173302506,985021106,body_momentum,1775858940,"{""body_momentum"":0,""time"":1775858940}",1775859686
6173302506,985021106,light_sensitivity_value,1775858880,"{""light_sensitivity_value"":0,""time"":1775858880}",1775859673
6173302506,985021106,body_momentum,1775858880,"{""body_momentum"":0,""time"":1775858880}",1775859686
6173302506,985021106,light_sensitivity_value,1775858820,"{""light_sensitivity_value"":0,""time"":1775858820}",1775859673
6173302506,985021106,body_momentum,1775858820,"{""body_momentum"":0,""time"":1775858820}",1775859686
6173302506,985021106,calories,1775864340,"{""time"":1775864340,""calories"":1}",1775864419
6173302506,985021106,calories,1775863920,"{""time"":1775863920,""calories"":1}",1775864419
6173302506,985021106,heart_rate,1775863800,"{""time"":1775863800,""bpm"":103,""type"":0}",1775864419
6173302506,985021106,heart_rate,1775863740,"{""time"":1775863740,""bpm"":103,""type"":0}",1775864419
6173302506,985021106,heart_rate,1775863680,"{""time"":1775863680,""bpm"":104,""type"":0}",1775864419
6173302506,hlth.gen_150127125725276,steps,1775863380,"{""time"":1775863380,""steps"":13,""distance"":7,""calories"":0.52}",1775863567
6173302506,985021106,calories,1775863380,"{""time"":1775863380,""calories"":1}",1775864419
6173302506,hlth.gen_150127125725276,calories,1775863380,"{""time"":1775863380,""calories"":0.52}",1775863567
6173302506,985021106,heart_rate,1775863200,"{""time"":1775863200,""bpm"":111,""type"":0}",1775864419
6173302506,985021106,calories,1775863020,"{""time"":1775863020,""calories"":1}",1775864419
6173302506,985021106,calories,1775862780,"{""time"":1775862780,""calories"":1}",1775864419
6173302506,985021106,calories,1775861220,"{""time"":1775861220,""calories"":1}",1775864419
6173302506,985021106,calories,1775861100,"{""time"":1775861100,""calories"":1}",1775864419
6173302506,985021106,heart_rate,1775860920,"{""time"":1775860920,""bpm"":99,""type"":0}",1775864419
6173302506,985021106,calories,1775860920,"{""time"":1775860920,""calories"":1}",1775864419
6173302506,985021106,calories,1775860800,"{""time"":1775860800,""calories"":1}",1775864419
6173302506,985021106,calories,1775860620,"{""time"":1775860620,""calories"":1}",1775864419
6173302506,985021106,calories,1775860500,"{""time"":1775860500,""calories"":1}",1775864419
6173302506,985021106,calories,1775860320,"{""time"":1775860320,""calories"":1}",1775864419
6173302506,985021106,heart_rate,1775860320,"{""time"":1775860320,""bpm"":104,""type"":0}",1775864419
6173302506,985021106,calories,1775860020,"{""time"":1775860020,""calories"":1}",1775864419
6173302506,985021106,calories,1775859900,"{""time"":1775859900,""calories"":1}",1775864419
