fecha,roa,liquidez,ratio_titulos,flujo_remesas,tasa_pasiva,imae,credito_privado,d2008,d2018.x,dcovid,log_remesa,log_imae,log_credito,d2018.y,dboom_remesas_covid
2008-02-01,0.00323078516235124,0.24276771056189256,0.1328308099180687,63.4,6.71,1.0485326794738723,43123.92255,1,0,0,4.14946386144318,0.04739173870805759,10.671833169673722,0,0
2008-03-01,0.00463813437699302,0.2572720790414235,0.13089881007857024,71.5,6.7,1.0468975511630585,43536.25818,1,0,0,4.269697449699962,0.04583107720877008,10.681349391270052,0,0
2008-04-01,0.00636950778364424,0.27250130351999236,0.12466561427488912,67.7,6.69,1.095553511990165,43885.8702,1,0,0,4.215086179918229,0.09125972595320608,10.689347683928405,0,0
2008-05-01,0.00839237891986968,0.26423138611580205,0.1251557637747828,73.6,6.88,1.089338377602093,44229.07735,1,0,0,4.298645025734831,0.08557051892060218,10.697137710368963,0,0
2008-06-01,0.01014447548216549,0.25506465107056425,0.1282437496570772,66.8,6.47,1.0773402463270068,44788.19615,1,0,0,4.2017030805426,0.07449526873408145,10.709699904891798,0,0
2008-07-01,0.01173739939038723,0.24428685598567088,0.12696522740272534,66.9,6.28,1.1421599064828891,45556.170029999994,1,0,0,4.203198967134183,0.13292112462140707,10.726701349716716,0,0
2008-08-01,0.0134370789321529,0.2414885937430937,0.12329269839587938,69.5,7.25,1.0875190140476247,46319.76957,1,0,0,4.241326752570746,0.08389896800957948,10.74332413749357,0,0
2008-09-01,0.01434422409064749,0.24615275010392548,0.12329533117551288,70.8,6.53,1.0488343721993072,46658.68622,1,0,0,4.259859000699674,0.047679425812968475,10.7506143887281,0,0
2008-10-01,0.01549981703521905,0.23460084893892344,0.11831649261563734,67.5,6.52,1.0776300093295226,46528.97224,1,0,0,4.212127597878484,0.07476419402759912,10.747830456479553,0,0
2008-11-01,0.01654442021052506,0.2316567261279648,0.11712312240856076,66.1,6.96,1.032014329960786,46950.5174,1,0,0,4.191168746857641,0.03151255258388333,10.756849504809978,0,0
2008-12-01,0.01788934526166193,0.24101004085064193,0.11266210080296986,73.5,6.63,1.1820763940072918,46334.09682,1,0,0,4.297285406218791,0.1672725480352451,10.743633401438453,0,0
2009-01-01,0.00104953754549423,0.2546439098481656,0.11508990773922372,62.7,6.69,1.0494734790948137,45723.41697,0,0,0,4.138361447638875,0.04828858992096693,10.730365851992726,0,0
2009-02-01,0.0021651671784365,0.2612721529273583,0.11789329058853232,62.8,6.74,0.9959456014730104,45512.40255,0,0,0,4.139955073474153,-0.00406263988407071,10.725740151311388,0,0
2009-03-01,0.00328884562565964,0.2537416436733849,0.12746257788315857,70.4,6.73,0.9979346209376276,45257.69287,0,0,0,4.254193263163997,-0.002067514899089691,10.720127942855115,0,0
2009-04-01,0.00420643003282158,0.25914117506250317,0.136580704660236,62.5,6.87,0.9782880523397588,44330.62418,0,0,0,4.135166556742356,-0.021951120268624346,10.699431007946762,0,0
2009-05-01,0.00529461777081208,0.2616373416953018,0.1390942114012949,66.2,6.67,1.0544883635017184,43990.87783,0,0,0,4.192680462942962,0.053055685789715486,10.691737569360757,0,0
2009-06-01,0.0058904046907927,0.2765646861046205,0.1422922502966765,62.1,6.64,1.0298568446434009,43533.90994,0,0,0,4.128745988939433,0.029419806799019486,10.681295452244752,0,0
2009-07-01,0.00625629977210878,0.2827382776021264,0.14716270253972466,61.3,6.85,1.1130382313420428,43265.26542,0,0,0,4.115779842942166,0.10709342151662264,10.675105407772975,0,0
2009-08-01,0.00637013855226468,0.3001149282240993,0.14098481135032187,60.7,6.66,1.0609741751714246,43134.59488,0,0,0,4.1059436980654525,0.059187519252138464,10.672080619557452,0,0
2009-09-01,0.00622991236664475,0.30139327011791195,0.1463442639108378,62.2,6.8,1.0076818542433124,42886.40477,0,0,0,4.130354999745133,0.0076524990400876685,10.666310149562861,0,0
2009-10-01,0.00586539519333943,0.29816104737686167,0.147840248575539,64.4,6.51,1.0306259928304031,42655.6683,0,0,0,4.165113633110308,0.030166377659731066,10.66091544678541,0,0
2009-11-01,0.00666378867093581,0.30855211813577693,0.13272215641225993,61.9,6.29,1.0923966500799,42996.64938,0,0,0,4.12552017969055,0.08837404404359712,10.668877470244322,0,0
2009-12-01,0.00531857057589957,0.33027893667358593,0.13036248926967112,71.2,6.46,1.202231684190464,42842.72746,0,0,0,4.26549281841793,0.18417956644986694,10.665291188734892,0,0
2010-01-01,2.9549471794385073e-4,0.34048543310452956,0.1493601163326519,60.7,5.97,1.073434228094222,42559.18918,0,0,0,4.1059436980654525,0.07086306780037953,10.658651072612244,0,0
2010-02-01,5.511940863953967e-4,0.34428032784482115,0.14933356876923878,64.1,4.84,1.0208599677338936,42348.18052,0,0,0,4.160444363926624,0.020645377703740805,10.653680736229287,0,0
2010-03-01,0.00107306379414489,0.33927613673316004,0.16707014549996713,77,4.15,1.0619729811883731,41794.76653,0,0,0,4.343805421853684,0.06012848105389825,10.640526408042765,0,0
2010-04-01,7.722605848685896e-4,0.3429562965643562,0.17440209496518147,63.8,3.69,1.0027310065462054,41409.12502,0,0,0,4.155753190350744,0.0027272841235945347,10.631256546637557,0,0
2010-05-01,0.0017428074526094,0.35116613773992444,0.17972436997540142,70.2,3.78,1.086007650746283,41205.61744,0,0,0,4.251348311031766,0.08250826637300873,10.626329871674464,0,0
2010-06-01,0.00104610775187705,0.34891016152864196,0.19388184389146265,63.5,3.8,1.0803645683507743,41567.18158,0,0,0,4.151039905898646,0.07729854746221412,10.635066230573653,0,0
2010-07-01,0.00103258754682958,0.3483616662571382,0.2028985129870552,66.5,3.22,1.1641105840471808,41627.03882,0,0,0,4.197201947661808,0.15195734827366103,10.636505206743893,0,0
2010-08-01,0.00561178632273411,0.3271276479187948,0.22311133107250392,66.5,3.2,1.106642557366463,41815.53026,0,0,0,4.197201947661808,0.10133070851074763,10.641023086830522,0,0
2010-09-01,0.00650409014211088,0.3327995892180405,0.2157108890537844,67.9,3.49,1.0630640244237497,42172.00173,0,0,0,4.21803603456465,0.06115532748373711,10.649511813719318,0,0
2010-10-01,0.00736325638017175,0.32572766601380126,0.2246287434335965,70.3,2.96,1.1002053120947652,42673.74129,0,0,0,4.252771798816619,0.09549680974675119,10.661339051972815,0,0
2010-11-01,0.00850258575439959,0.3272573744898631,0.21335307695943903,70.6,3.4,1.1647884914848905,43583.38645,0,0,0,4.257030144499196,0.15253951816155217,10.682431311996366,0,0
2010-12-01,0.00996084893299932,0.31879407131804366,0.2044518462912585,81.7,3.29,1.2449971326936833,45388.37828,0,0,0,4.403054001865957,0.2191332268567364,10.723011366237655,0,0
2011-01-01,0.00155166468371365,0.3347373754250773,0.20704867000856209,67.4,3.82,1.1311727734974335,45443.21783,0,0,0,4.210645017918261,0.12325494718012804,10.724218865808549,0,0
2011-02-01,0.00274208606108912,0.352006413791123,0.2017932258077804,69.3,3.45,1.054578327593887,44766.651,0,0,0,4.238444906195857,0.053140997546430375,10.709218743880388,0,0
2011-03-01,0.00402516249018165,0.34004947174723554,0.2328643098058888,77.5,3.29,1.149611348115776,44407.54792,0,0,0,4.350277936359301,0.13942392709423485,10.701164732170458,0,0
2011-04-01,0.00498776089307412,0.3543765963926467,0.23541118322476373,73.4,3.1,1.0631270230516232,44242.15472,0,0,0,4.29592393562047,0.06121458709539501,10.697433340254278,0,0
2011-05-01,0.0063399460454721,0.34954047386431736,0.239762401630217,77.8,3.14,1.1873142346937926,44412.58121,0,0,0,4.354141431184346,0.17169381074752452,10.701278068866873,0,0
2011-06-01,0.00767196580822414,0.36180638386029623,0.23558380505797688,70,3.33,1.1649364407238896,44337.4101,0,0,0,4.248495242049359,0.15266652821080953,10.69958407145084,0,0
2011-07-01,0.00885413552728913,0.3667138167222247,0.2334811285681439,74.5,3.21,1.2613347183904062,44699.633839999995,0,0,0,4.310799125385514,0.2321704606105648,10.707720589069227,0,0
2011-08-01,0.01038792393717934,0.348467671358392,0.23577779941467208,77.3,3.11,1.185203132851533,45733.4519,0,0,0,4.3476939555933765,0.16991418002421907,10.73058529816805,0,0
2011-09-01,0.01163567208853561,0.3365138808879131,0.23641982143985107,74.8,3.83,1.128784865019281,47111.57209,0,0,0,4.314817884980432,0.1211417134397194,10.760273941759248,0,0
2011-10-01,0.01286191623187246,0.32258138367494155,0.23702872232762515,79.4,2.21,1.1369073384409314,48817.35803,0,0,0,4.37449836825309,0.12831171491345464,10.795841225932003,0,0
2011-11-01,0.01476103056330641,0.31161358782437826,0.2213688931384252,75.7,2.83,1.257420060273093,50990.93922,0,0,0,4.3267781604434035,0.22906205061170687,10.839403233569696,0,0
2011-12-01,0.01659336781270945,0.3254686975225357,0.20461075334483833,94.5,3.05,1.2806438393465285,52491.80203,0,0,0,4.548599834499697,0.24736295095916302,10.868412284577229,0,0
2012-01-01,0.00175663383955672,0.32915929173499014,0.21266625947416695,78.1,2.73,1.2849959742230543,53457.17955,0,0,0,4.35799005684564,0.2507555854419288,10.886636230164227,0,0
2012-02-01,0.00338283804242063,0.3190545040927306,0.21934198329281057,82.3,3,1.1685406920424424,54435.26674,0,0,0,4.410371107683024,0.15575569856025487,10.904767508459424,0,0
2012-03-01,0.00487241862423799,0.3363609739660249,0.20828937538058137,89.7,2.97,1.1862465036028988,54133.01926,0,0,0,4.49647076906475,0.17079412350069068,10.899199616177484,0,0
2012-04-01,0.0064842789011357,0.31041666004219565,0.22080937011331425,80.1,1.94,1.124396033481026,54302.68029,0,0,0,4.383275854074314,0.11724603236794662,10.902328865477305,0,0
2012-05-01,0.00813499741957221,0.3029470550020331,0.21506568325968717,85.2,2.3,1.266905656737664,55739.00479,0,0,0,4.44500143383527,0.2365774366389223,10.928435446373495,0,0
2012-06-01,0.00967473479624521,0.3011663552694286,0.21292419081673536,78.9,1.95,1.1830875818802902,56853.05519,0,0,0,4.368181227851829,0.16812761596703954,10.948225238983573,0,0
2012-07-01,0.01131119988028206,0.2947371383449334,0.2084484900524625,80.9,2.74,1.3026632865560457,57904.05858,0,0,0,4.393213824064446,0.2644108507465569,10.966542757477507,0,0
2012-08-01,0.0132184238007908,0.29555312550869733,0.20251764547400175,82.4,2.53,1.2381602246601782,59198.53751,0,0,0,4.411585436915426,0.21362658806915732,10.98865211634397,0,0
2012-09-01,0.01501043989966639,0.2768182230683378,0.1927875762381323,82.9,3.1,1.1691625046653706,60337.57492,0,0,0,4.417635062141249,0.156287684518497,11.007710321650181,0,0
2012-10-01,0.01677916153933943,0.28703638610055376,0.16681724858807342,87.3,3.44,1.2606355574458616,62135.31143,0,0,0,4.469350462845557,0.23161600446240563,11.037069728378496,0,0
2012-11-01,0.01849829146761556,0.28685562001140247,0.16034696343123248,82.8,1.92,1.3062534988435677,64092.093510000006,0,0,0,4.416428061391214,0.2671631152679271,11.068076289123148,0,0
2012-12-01,0.02072024303128166,0.2614736564642663,0.15683677209176963,103.6,3,1.419512873532519,66318.71079,0,0,0,4.640537329825382,0.3503137659510678,11.102227350386215,0,0
2013-01-01,0.00189723038875491,0.28958601227402914,0.15260339988593696,83.4,3.27,1.319724930584001,67235.49044,0,0,0,4.423648309364701,0.2774233289617053,11.115956518646477,0,0
2013-02-01,0.00375409532916155,0.2889379115235889,0.15407299020305373,83.7,3.01,1.2238822639207083,67397.10497,0,0,0,4.4272389774954295,0.20202798985635292,11.118357343010533,0,0
2013-03-01,0.00546715111802456,0.27676239479009096,0.16212152410955216,90.2,3.63,1.223494306014436,69006.91519,0,0,0,4.502029427068578,0.20171095003968745,11.141961998702621,0,0
2013-04-01,0.00724268127319309,0.2852121299171692,0.1546813454198727,90.7,3.84,1.2674309260013026,69533.63681,0,0,0,4.507557357121091,0.23699195874678872,11.149565897348644,0,0
2013-05-01,0.00895769329281612,0.2768320216926796,0.14393102663994248,92.7,3.45,1.3270240232636823,70229.06749,0,0,0,4.529368472571809,0.2829388586253026,11.159517571121015,0,0
2013-06-01,0.01055009606783876,0.26549033957464435,0.14981810288369857,80.9,3.33,1.2303832853951144,70850.75018999999,0,0,0,4.393213824064446,0.20732573498509263,11.168330833489023,0,0
2013-07-01,0.01222372185767439,0.2721516672177264,0.14491686174021845,86.6,3.53,1.385152156466111,71256.8353,0,0,0,4.461299815568389,0.3258099938694449,11.174046027564609,0,0
2013-08-01,0.01381727850932674,0.2566366532108499,0.15716060641414994,88.6,3.39,1.3022066786345243,72306.18467,0,0,0,4.484131857611035,0.2640602705392531,11.188664946258768,0,0
2013-09-01,0.01538603099321864,0.25395313068427433,0.15223662025217816,90.5,3.79,1.2509857045580866,73551.01243999999,0,0,0,4.505349850705881,0.22393180420772166,11.20573449126455,0,0
2013-10-01,0.01750308009902778,0.25320620116614206,0.14524326156949138,90.3,3.79,1.3002264550274447,76108.07842,0,0,0,4.5031374604229395,0.26253844547205657,11.239909693537644,0,0
2013-11-01,0.01908995745098836,0.2527222103532161,0.12622611039093057,89.1,3.46,1.340489142795833,78111.63115,0,0,0,4.489759334476764,0.29303457929206006,11.265894251115785,0,0
