fecha,roa,d_liquidez,d_ratio_titulos,d_tasa_pasiva,dlog_imae,dlog_remesas,dlog_credito,d2018,dboom_remesas_covid,mes
2008-02-01,0.00323078516235124,0.008301383065934004,-0.01176347993860502,-0.16999999999999993,-0.0021777855990862127,-0.004135601705547387,0.02749936659279939,0,0,2
2008-03-01,0.00463813437699302,0.014504368479531016,-0.002447160867004,-0.009999999999999787,0.019911032010731786,0.03183604248014049,0.01397255174149592,0,0,3
2008-04-01,0.00636950778364424,0.015229224478568004,-0.00841394646937399,-0.009999999999999787,0.02065143182081726,-0.0027501895041472935,0.014365888306320684,0,0,4
2008-05-01,0.00839237891986968,-0.00826991740419003,-3.1917295869399176e-4,0.1899999999999995,-0.0505973030534443,0.027299938834183912,0.009531778066630636,0,0,5
2008-06-01,0.01014447548216549,-0.009166735045238017,0.003086213047248987,-0.41000000000000014,0.028238926649644613,0.004823444892412709,0.015466404254596,0,0,6
2008-07-01,0.01173739939038723,-0.010777795084892988,1.840714135279975e-4,-0.1899999999999995,-0.03211739913950269,-0.012255140740924375,0.01980300316127881,0,0,7
2008-08-01,0.0134370789321529,-0.002798262242576982,-0.007633851738952993,0.9699999999999998,0.020222567688669563,0.031223361486238943,0.01513095977005996,0,0,8
2008-09-01,0.01434422409064749,0.004664156360831007,8.911533547070055e-4,-0.7199999999999998,6.608120822042263e-4,-0.015038163320507891,0.003992106861710809,0,0,9
2008-10-01,0.01549981703521905,-0.011551901165002015,-0.0020474572547240083,-0.010000000000000675,-0.010001417044690139,-0.0287754025149205,-0.009051468481043656,0,0,10
2008-11-01,0.01654442021052506,-0.0029441228109579887,0.006223463731077003,0.4400000000000004,-0.053249515874237346,0.009523804004679448,-0.0038682932011031568,0,0,11
2008-12-01,0.01788934526166193,0.009353314722677003,-5.129075624869944e-4,-0.33000000000000007,0.022923698701714092,-0.04038701813674006,-0.014125727149210121,0,0,12
2009-01-01,0.00104953754549423,0.013633868997523974,-0.0032378915170939992,0.0600000000000005,-0.016277418035334904,0.015740676236882578,-0.00986728195994857,0,0,1
2009-02-01,0.0021651671784365,0.00662824307919202,-7.12607043633004e-4,0.04999999999999982,0.02530390625278372,-0.00951112294754708,-0.0014074788173896735,0,0,2
2009-03-01,0.00328884562565964,-0.007530509253973028,0.009055765243077996,-0.009999999999999787,-0.03386208656073013,-0.028317199141062233,-0.0011661177139252743,0,0,3
2009-04-01,0.00420643003282158,0.0053995313891180285,0.006937424675040993,0.13999999999999968,0.017195287679296633,0.009587053525680567,-0.014363235191964918,0,0,4
2009-05-01,0.00529461777081208,0.0024961666327990017,0.0017047577981280093,-0.20000000000000018,0.007418559263812283,-0.016648390090650445,-0.005987203490462889,0,0,5
2009-06-01,0.0058904046907927,0.014927344409317977,0.0031969107546659936,-0.03000000000000025,-5.966476886244132e-4,0.003974733015031262,-0.007502175750977003,0,0,6
2009-07-01,0.00625629977210878,0.006173591497506015,0.00633349998114302,0.20999999999999996,-0.008935791526935535,-0.010014080645596835,-0.0032779277570487153,0,0,7
2009-08-01,0.00637013855226468,0.017376650621973022,-0.010139833623730998,-0.1899999999999995,0.026631792726819738,-0.030350102076566188,-0.004434918679020683,0,0,8
2009-09-01,0.00622991236664475,0.0012783418938129842,0.006248407027691,0.13999999999999968,-0.013148028603393203,0.02317996775074249,-0.009089779618468796,0,0,9
2009-10-01,0.00586539519333943,-0.003232222741050006,0.004427311295409991,-0.29000000000000004,-0.006505568283247963,0.015191790968954066,-0.011798223881010372,0,0,10
2009-11-01,0.00666378867093581,0.010391070758914989,-0.007700847169852004,-0.21999999999999975,0.022691134651247093,-0.0019826116353254264,-0.004971549176158163,0,0,11
2009-12-01,0.00531857057589957,0.021726818537809,0.0015877708656469869,0.16999999999999993,-0.0023955924975132964,1.993697834645758e-5,-0.0046145210697545735,0,0,12
2010-01-01,2.9549471794385073e-4,0.010206496430944012,0.013332062249158005,-0.4900000000000002,-0.003576535424092045,0.02377365234281026,-0.0032740220828468836,0,0,1
2010-02-01,5.511940863953967e-4,0.0037948947402909883,-0.0035460500704470044,-1.13,0.01834763237726092,0.02124734570643838,-0.001586236343408487,0,0,2
2010-03-01,0.00107306379414489,-0.005004191111661005,0.017225355251938024,-0.6899999999999995,-0.007389298197306243,0.030871588659511673,-0.008710410409715763,0,0,3
2010-04-01,7.722605848685896e-4,0.003680159831196017,0.005151519071356997,-0.4600000000000004,-0.005106423745433658,-0.04032213483322877,-0.003018715906385694,0,0,4
2010-05-01,0.0017428074526094,0.008209841175568,0.0045141073086689965,0.08999999999999986,0.007663207274998307,0.008392937090891728,-0.00326406446175298,0,0,5
2010-06-01,0.00104610775187705,-0.0022559762112819848,0.014157235871284007,0.020000000000000018,0.021631712785328536,0.009130672175423626,0.011763444766557996,0,0,6
2010-07-01,0.00103258754682958,-5.484952715040237e-4,0.010480542690168987,-0.5799999999999996,-0.0032847833683990607,0.011063065818545326,0.004534231815153333,0,0,7
2010-08-01,0.00561178632273411,-0.021234018338342986,0.01624944873554901,-0.020000000000000018,0.0063378429958941135,0.0039796051486975514,0.0032397687852725454,0,0,8
2010-09-01,0.00650409014211088,0.005671941299244976,-0.006511157866701006,0.29000000000000004,0.005171389344670485,0.0144093546429378,0.005143557263323828,0,0,9
2010-10-01,0.00736325638017175,-0.0070719232042389946,0.011849156839475988,-0.5300000000000002,0.01500391632556368,0.021453295325106758,0.005228442204002093,0,0,10
2010-11-01,0.00850258575439959,0.0015297084760619861,-0.0038586580630379785,0.43999999999999995,-5.447827263166116e-4,0.010292889297798702,0.008125663035219333,0,0,11
2010-12-01,0.00996084893299932,-0.008463303171818981,-0.00495487815481202,-0.10999999999999988,-0.01652253545621711,0.0058109490163920086,0.03940689580608492,0,0,12
2011-01-01,0.00155166468371365,0.015943304107032985,-0.0030682771563549927,0.5299999999999998,0.007555790126445666,-0.013550728457998318,0.004534619056997258,0,0,1
2011-02-01,0.00274208606108912,0.01726903836604604,-0.008779240088154006,-0.36999999999999966,7.997601553745431e-4,0.01511116102925758,-0.011473663676088819,0,0,2
2011-03-01,0.00402516249018165,-0.011956942043887031,0.030563074013216007,-0.16000000000000014,0.038750931591822815,-0.010778807306079052,-0.0036633079937722357,0,0,3
2011-04-01,0.00498776089307412,0.014327124645411027,3.668268465890079e-4,-0.18999999999999995,-0.015201449917039034,0.0509793770143272,0.0023936968009277138,0,0,4
2011-05-01,0.0063399460454721,-0.004836122528329989,0.0035437102837869994,0.040000000000000036,0.01838163269124804,-0.0014709632729212885,0.005451442217696112,0,0,5
2011-06-01,0.00767196580822414,0.012265909995978985,-0.0041773252964990015,0.18999999999999995,0.02129097197592192,1.1044555613537455e-4,0.0014796521241979832,0,0,6
2011-07-01,0.00885413552728913,0.004907432861928962,-6.376328527540054e-4,-0.1200000000000001,0.011212261764358744,0.034336852004297036,0.011460564901847548,0,0,7
2011-08-01,0.01038792393717934,-0.018246145363832955,-0.0016675294544699903,-0.10000000000000009,-0.022988887496750626,0.0026880681992969002,0.021769134758734765,0,0,8
2011-09-01,0.01163567208853561,-0.011953790470479009,0.0015311504699929979,0.7200000000000002,0.0019995284988636175,-0.012483003972058704,0.02636655087035855,0,0,9
2011-10-01,0.01286191623187246,-0.013932497212971018,0.003540962155162003,-1.62,-0.011978789871019302,0.023783688382983392,0.02881048981856793,0,0,10
2011-11-01,0.01476103056330641,-0.01096779585056401,-0.008243961311738018,0.6200000000000001,0.04334532281437825,-0.0031534991067596607,0.0306330738155971,0,0,11
2011-12-01,0.01659336781270945,0.013855109698158008,-0.012813565265421989,0.21999999999999975,-0.05624031992530504,0.031151083498210497,0.027714877370025093,0,0,12
2012-01-01,0.00175663383955672,0.0036905942124539903,0.002390857398947982,-0.31999999999999984,0.08708404828173705,0.02194518399691514,0.021506375275274436,0,0,1
2012-02-01,0.00338283804242063,-0.010104787642258972,0.0031469501468010252,0.27,-0.04151077543870868,-0.00259985123551143,0.02168694492238643,0,0,2
2012-03-01,0.00487241862423799,0.017306469873293984,-0.011557403610988004,-0.029999999999999805,0.004674033392204263,-0.002151613689687082,-0.0013972197102170014,0,0,3
2012-04-01,0.0064842789011357,-0.02594431392382901,0.010340565714757999,-1.0300000000000002,-0.0016825001716801458,0.005565705118812936,0.009040255367347427,0,0,4
2012-05-01,0.00813499741957221,-0.007469605040162974,-0.006550334223273002,0.3599999999999999,0.020319760912474588,-0.007653632330226756,0.02763050569561365,0,0,5
2012-06-01,0.00967473479624521,-0.0017806997326040297,-0.002138726237152999,-0.34999999999999987,-0.004202525589450723,0.02431991376715903,0.023077907729557978,0,0,6
2012-07-01,0.01131119988028206,-0.006429216924495995,-0.0030091658263570187,0.7900000000000003,0.00650259539244008,-0.004306011414674238,0.021872068368937292,0,0,7
2012-08-01,0.0132184238007908,8.159871637640204e-4,-0.009895691169890974,-0.2100000000000004,-8.976324518432943e-4,0.011153996591487747,0.021259861335041208,0,0,8
2012-09-01,0.01501043989966639,-0.018734902440359025,-0.008841150826853023,0.5700000000000003,0.007936423784331903,0.0061624402877509254,0.01584024469488554,0,0,9
2012-10-01,0.01677916153933943,0.01021816303221601,-0.023037374328752996,0.33999999999999986,0.01784833273764161,0.008151301779510511,0.02255578174305306,0,0,10
2012-11-01,0.01849829146761556,-1.8076608915196246e-4,9.442290475880077e-4,-1.52,-0.001457013000856766,0.005372741878669984,0.01822205577381375,0,0,11
2012-12-01,0.02072024303128166,-0.02538196354713601,4.3209783620598574e-4,1.08,0.02120940006304911,0.010631220716906142,0.03284723703501591,0,0,12
2013-01-01,0.00189723038875491,0.028112355809763012,-0.009897529671219985,0.27,-0.011158393373613268,0.01405283679018865,0.01697932629085841,0,0,1
2013-02-01,0.00375409532916155,-6.481007504400282e-4,-0.002063816889363995,-0.26000000000000023,0.005107019405349494,-0.019271293499437903,0.005900061086284936,0,0,2
2013-03-01,0.00546715111802456,-0.012175516733497982,0.007546765372613978,0.6200000000000001,-0.0016203000440592752,0.012385478790960747,0.027402929016547617,0,0,3
2013-04-01,0.00724268127319309,0.008449735127077973,-0.00961811554587999,0.20999999999999996,0.02646975570223392,0.0032382792885448097,0.013186440666219212,0,0,4
2013-05-01,0.00895769329281612,-0.00838010822448898,-0.011556371590449005,-0.3899999999999997,-0.019582324867078504,0.012778621331354323,0.011407244730211374,0,0,5
2013-06-01,0.01055009606783876,-0.01134168211803599,0.005891667882756996,-0.1200000000000001,0.0013560177542346619,-0.016232729434100257,0.012194438267677299,0,0,6
2013-07-01,0.01222372185767439,0.006661327643081971,-0.0034331355542169817,0.19999999999999973,0.01178315569876437,0.0010978040903903974,0.009487153903494416,0,0,7
2013-08-01,0.01381727850932674,-0.015515014006875993,0.008277993846489001,-0.13999999999999968,0.0035531456745273027,0.023227173302270643,0.014034408728649694,0,0,8
2013-09-01,0.01538603099321864,-0.0026835225265759988,-0.004035414487689015,0.3999999999999999,0.002834502159189012,0.0232182313700946,0.013945980878249387,0,0,9
2013-10-01,0.01750308009902778,-7.46929518131989e-4,-0.004060523319852988,0,-0.008361122354656136,-0.015338980384877132,0.027406285627233018,0,0,10
2013-11-01,0.01908995745098836,-4.83990812925994e-4,-0.011604007517249992,-0.33000000000000007,0.0032762761998741396,0.012418431008719644,0.01336565855953964,0,0,11
2013-12-01,0.02131274597490316,0.007454377210563967,-0.014045025806422015,-0.3799999999999999,0.013266245646845642,0.020343909141474548,0.019532480400840768,0,0,12
2014-01-01,0.00194007629227093,0.005183598539125034,0.0076950049765330125,0.5499999999999998,-0.01018391330784868,-0.01805052384909711,0.012896102012717847,0,0,1
2014-02-01,0.00359544634625891,-0.0025391157185460367,0.010139983503558991,-0.31000000000000005,0.032071592801306836,0.01305297078475487,0.020257579691277172,0,0,2
2014-03-01,0.00513050118686756,0.027132676886290008,-0.012028081389897999,-0.040000000000000036,-0.001842170658417408,-8.643583682461653e-4,0.013794855561226171,0,0,3
2014-04-01,0.00688704446908408,-0.017900143562762982,0.0017236810596180097,0.7100000000000004,0.007903445935782183,0.008157766977177516,0.023207364228520433,0,0,4
2014-05-01,0.0084465410072032,-0.013973221730476992,0.008218779312722996,-0.41000000000000014,-3.490771288072736e-4,-0.006062517383615962,0.0221108791495368,0,0,5
2014-06-01,0.0098960766908658,0.01374247987997701,-0.0020737834419889967,-0.28000000000000025,-0.004787181099885407,0.01924159348982002,0.011227480659801614,0,0,6
2014-07-01,0.01147671163041612,-0.0015775682682320213,0.0036828603401789783,-0.1499999999999999,0.0024789985799729686,-3.89770599135808e-4,0.01324949007932652,0,0,7
2014-08-01,0.01317745830586031,0.0017350349330699788,-0.007072935176770989,0.10999999999999988,-0.0049343182614502434,-8.611938282765408e-4,0.014091330926840229,0,0,8
2014-09-01,0.01495205904660976,-0.008039750148257974,5.183821242110143e-4,-0.1299999999999999,0.009328566854097609,-0.0049158082045721585,0.007085365176212832,0,0,9
2014-10-01,0.0167380240774811,0.013669918691358973,-0.0057354511251480195,-1.45,0.007830281515687432,-0.0032944681691429167,0.009249039054884278,0,0,10
2014-11-01,0.01819612848394681,-0.0071225961898540024,-0.003988452818914995,-0.19999999999999996,0.010720202609004637,0.014240183536456286,0.023950291182446293,0,0,11
2014-12-01,0.02016118952010207,0.008480682092615044,-0.0040251893170950015,0.8999999999999999,0.008522392101575627,0.010202196154625476,0.01623575098679808,0,0,12
